Facility ID,State,HCAHPS Answer Description,Readmission national comparison,Effectiveness of care national comparison
340001,NC,"Patients ""sometimes"" or ""never"" received help as soon as they wanted",Above the national average,Same as the national average
340001,NC,"Patients ""usually"" received help as soon as they wanted",Above the national average,Same as the national average
340001,NC,Staff responsiveness - linear mean score,Above the national average,Same as the national average
340001,NC,Staff responsiveness - star rating,Above the national average,Same as the national average
340001,NC,"Patients ""always"" received call button help as soon as they wanted",Above the national average,Same as the national average
340001,NC,"Patients ""sometimes"" or ""never"" received call button help as soon as they wanted",Above the national average,Same as the national average
340001,NC,"Patients ""usually"" received call button help as soon as they wanted",Above the national average,Same as the national average
340001,NC,"Patients ""always"" received bathroom help as soon as they wanted",Above the national average,Same as the national average
340001,NC,"Patients ""sometimes"" or ""never"" received bathroom help as soon as they wanted",Above the national average,Same as the national average
340001,NC,"Patients ""usually"" received bathroom help as soon as they wanted",Above the national average,Same as the national average
340001,NC,"Staff ""always"" explained",Above the national average,Same as the national average
340001,NC,"Staff ""sometimes"" or ""never"" explained",Above the national average,Same as the national average
340001,NC,"Staff ""usually"" explained",Above the national average,Same as the national average
340001,NC,Communication about medicines - linear mean score,Above the national average,Same as the national average
340001,NC,Communication about medicines - star rating,Above the national average,Same as the national average
340001,NC,"Staff ""always"" explained new medications",Above the national average,Same as the national average
340001,NC,"Staff ""sometimes"" or ""never"" explained new medications",Above the national average,Same as the national average
340001,NC,"Staff ""usually"" explained new medications",Above the national average,Same as the national average
340001,NC,"Staff ""always"" explained possible side effects",Above the national average,Same as the national average
340001,NC,"Staff ""sometimes"" or ""never"" explained possible side effects",Above the national average,Same as the national average
340001,NC,"Staff ""usually"" explained possible side effects",Above the national average,Same as the national average
340001,NC,"No, staff ""did not"" give patients this information",Above the national average,Same as the national average
340001,NC,"Yes, staff ""did"" give patients this information",Above the national average,Same as the national average
340001,NC,Discharge information - linear mean score,Above the national average,Same as the national average
340001,NC,Discharge information - star rating,Above the national average,Same as the national average
340001,NC,"No, staff ""did not"" give patients information about help after discharge",Above the national average,Same as the national average
340001,NC,"Yes, staff ""did"" give patients information about help after discharge",Above the national average,Same as the national average
340001,NC,"No, staff ""did not"" give patients information about possible symptoms",Above the national average,Same as the national average
340001,NC,"Yes, staff ""did"" give patients information about possible symptoms",Above the national average,Same as the national average
340001,NC,"Patients who ""Agree"" they understood their care when they left the hospital",Above the national average,Same as the national average
340001,NC,"Patients who ""Disagree"" or ""Strongly Disagree"" they understood their care when they left the hospital",Above the national average,Same as the national average
340001,NC,"Patients who ""Strongly Agree"" they understood their care when they left the hospital",Above the national average,Same as the national average
340001,NC,Care transition - linear mean score,Above the national average,Same as the national average
340001,NC,Care transition - star rating,Above the national average,Same as the national average
340001,NC,"Patients who ""Agree"" that staff took their preferences into account",Above the national average,Same as the national average
340001,NC,"Patients who ""Disagree"" or ""Strongly Disagree"" that staff took their preferences into account",Above the national average,Same as the national average
340001,NC,"Patients who ""Strongly Agree"" that staff took their preferences into account",Above the national average,Same as the national average
340001,NC,"Patients who ""Agree"" they understood their responsiblities when they left the hospital",Above the national average,Same as the national average
340001,NC,"Patients who ""Disagree"" or ""Strongly Disagree"" they understood their responsiblities when they left the hospital",Above the national average,Same as the national average
340001,NC,"Patients who ""Strongly Agree"" they understood their responsiblities when they left the hospital",Above the national average,Same as the national average
340001,NC,"Patients who ""Agree"" they understood their medications when they left the hospital",Above the national average,Same as the national average
340001,NC,"Patients who ""Disagree"" or ""Strongly Disagree"" they understood their medications when they left the hospital",Above the national average,Same as the national average
340001,NC,"Patients who ""Strongly Agree"" they understood their medications when they left the hospital",Above the national average,Same as the national average
340001,NC,"Room was ""always"" clean",Above the national average,Same as the national average
340001,NC,"Room was ""sometimes"" or ""never"" clean",Above the national average,Same as the national average
340001,NC,"Room was ""usually"" clean",Above the national average,Same as the national average
340001,NC,Cleanliness - linear mean score,Above the national average,Same as the national average
340001,NC,Cleanliness - star rating,Above the national average,Same as the national average
340001,NC,Always quiet at night,Above the national average,Same as the national average
340001,NC,"Sometimes or ""never"" quiet at night",Above the national average,Same as the national average
340001,NC,Usually quiet at night,Above the national average,Same as the national average
340001,NC,Quietness - linear mean score,Above the national average,Same as the national average
340001,NC,Quietness - star rating,Above the national average,Same as the national average
340001,NC,"Patients who gave a rating of ""6"" or lower (low)",Above the national average,Same as the national average
340001,NC,"Patients who gave a rating of ""7"" or ""8"" (medium)",Above the national average,Same as the national average
340001,NC,"Patients who gave a rating of ""9"" or ""10"" (high)",Above the national average,Same as the national average
340001,NC,Overall hospital rating - linear mean score,Above the national average,Same as the national average
340001,NC,Overall hospital rating - star rating,Above the national average,Same as the national average
340001,NC,"NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",Above the national average,Same as the national average
340001,NC,"YES, patients would definitely recommend the hospital",Above the national average,Same as the national average
340001,NC,"YES, patients would probably recommend the hospital",Above the national average,Same as the national average
340001,NC,Recommend hospital - linear mean score,Above the national average,Same as the national average
340001,NC,Recommend hospital - star rating,Above the national average,Same as the national average
340001,NC,Summary star rating,Above the national average,Same as the national average
340002,NC,"Nurses ""always"" communicated well",Above the national average,Same as the national average
340002,NC,"Nurses ""sometimes"" or ""never"" communicated well",Above the national average,Same as the national average
340002,NC,"Nurses ""usually"" communicated well",Above the national average,Same as the national average
340002,NC,Nurse communication - linear mean score,Above the national average,Same as the national average
340002,NC,Nurse communication - star rating,Above the national average,Same as the national average
340002,NC,"Nurses ""always"" treated them with courtesy and  respect",Above the national average,Same as the national average
340002,NC,"Nurses ""sometimes"" or ""never"" treated them with courtesy and  respect",Above the national average,Same as the national average
340002,NC,"Nurses ""usually""  treated them with courtesy and  respect",Above the national average,Same as the national average
340002,NC,"Nurses ""always"" listened carefully",Above the national average,Same as the national average
340002,NC,"Nurses ""sometimes"" or ""never"" listened carefully",Above the national average,Same as the national average
340002,NC,"Nurses ""usually"" listened carefully",Above the national average,Same as the national average
340002,NC,"Nurses ""always"" explained things so they could understand",Above the national average,Same as the national average
340002,NC,"Nurses ""sometimes"" or ""never"" explained things so they could understand",Above the national average,Same as the national average
340002,NC,"Nurses ""usually"" explained things so they could understand",Above the national average,Same as the national average
340002,NC,"Doctors ""always"" communicated well",Above the national average,Same as the national average
340002,NC,"Doctors ""sometimes"" or ""never"" communicated well",Above the national average,Same as the national average
340002,NC,"Doctors ""usually"" communicated well",Above the national average,Same as the national average
340002,NC,Doctor communication - linear mean score,Above the national average,Same as the national average
340002,NC,Doctor communication - star rating,Above the national average,Same as the national average
340002,NC,"Doctors ""always"" treated them with courtesy and  respect",Above the national average,Same as the national average
340002,NC,"Doctors ""sometimes"" or ""never"" treated them with courtesy and  respect",Above the national average,Same as the national average
340002,NC,"Doctors ""usually""  treated them with courtesy and  respect",Above the national average,Same as the national average
340002,NC,"Doctors ""always"" listened carefully",Above the national average,Same as the national average
340002,NC,"Doctors ""sometimes"" or ""never"" listened carefully",Above the national average,Same as the national average
340002,NC,"Doctors ""usually"" listened carefully",Above the national average,Same as the national average
340002,NC,"Doctors ""always"" explained things so they could understand",Above the national average,Same as the national average
340002,NC,"Doctors ""sometimes"" or ""never"" explained things so they could understand",Above the national average,Same as the national average
340002,NC,"Doctors ""usually"" explained things so they could understand",Above the national average,Same as the national average
340002,NC,"Patients ""always"" received help as soon as they wanted",Above the national average,Same as the national average
340002,NC,"Patients ""sometimes"" or ""never"" received help as soon as they wanted",Above the national average,Same as the national average
340002,NC,"Patients ""usually"" received help as soon as they wanted",Above the national average,Same as the national average
340002,NC,Staff responsiveness - linear mean score,Above the national average,Same as the national average
340002,NC,Staff responsiveness - star rating,Above the national average,Same as the national average
340002,NC,"Patients ""always"" received call button help as soon as they wanted",Above the national average,Same as the national average
340002,NC,"Patients ""sometimes"" or ""never"" received call button help as soon as they wanted",Above the national average,Same as the national average
340002,NC,"Patients ""usually"" received call button help as soon as they wanted",Above the national average,Same as the national average
340002,NC,"Patients ""always"" received bathroom help as soon as they wanted",Above the national average,Same as the national average
340002,NC,"Patients ""sometimes"" or ""never"" received bathroom help as soon as they wanted",Above the national average,Same as the national average
340002,NC,"Patients ""usually"" received bathroom help as soon as they wanted",Above the national average,Same as the national average
340002,NC,"Staff ""always"" explained",Above the national average,Same as the national average
340002,NC,"Staff ""sometimes"" or ""never"" explained",Above the national average,Same as the national average
340002,NC,"Staff ""usually"" explained",Above the national average,Same as the national average
340002,NC,Communication about medicines - linear mean score,Above the national average,Same as the national average
340002,NC,Communication about medicines - star rating,Above the national average,Same as the national average
340002,NC,"Staff ""always"" explained new medications",Above the national average,Same as the national average
340002,NC,"Staff ""sometimes"" or ""never"" explained new medications",Above the national average,Same as the national average
340002,NC,"Staff ""usually"" explained new medications",Above the national average,Same as the national average
340002,NC,"Staff ""always"" explained possible side effects",Above the national average,Same as the national average
340002,NC,"Staff ""sometimes"" or ""never"" explained possible side effects",Above the national average,Same as the national average
340002,NC,"Staff ""usually"" explained possible side effects",Above the national average,Same as the national average
340002,NC,"No, staff ""did not"" give patients this information",Above the national average,Same as the national average
340002,NC,"Yes, staff ""did"" give patients this information",Above the national average,Same as the national average
340002,NC,Discharge information - linear mean score,Above the national average,Same as the national average
340002,NC,Discharge information - star rating,Above the national average,Same as the national average
340002,NC,"No, staff ""did not"" give patients information about help after discharge",Above the national average,Same as the national average
340002,NC,"Yes, staff ""did"" give patients information about help after discharge",Above the national average,Same as the national average
340002,NC,"No, staff ""did not"" give patients information about possible symptoms",Above the national average,Same as the national average
340002,NC,"Yes, staff ""did"" give patients information about possible symptoms",Above the national average,Same as the national average
340002,NC,"Patients who ""Agree"" they understood their care when they left the hospital",Above the national average,Same as the national average
340002,NC,"Patients who ""Disagree"" or ""Strongly Disagree"" they understood their care when they left the hospital",Above the national average,Same as the national average
340002,NC,"Patients who ""Strongly Agree"" they understood their care when they left the hospital",Above the national average,Same as the national average
340002,NC,Care transition - linear mean score,Above the national average,Same as the national average
340002,NC,Care transition - star rating,Above the national average,Same as the national average
340002,NC,"Patients who ""Agree"" that staff took their preferences into account",Above the national average,Same as the national average
340002,NC,"Patients who ""Disagree"" or ""Strongly Disagree"" that staff took their preferences into account",Above the national average,Same as the national average
340002,NC,"Patients who ""Strongly Agree"" that staff took their preferences into account",Above the national average,Same as the national average
340002,NC,"Patients who ""Agree"" they understood their responsiblities when they left the hospital",Above the national average,Same as the national average
340002,NC,"Patients who ""Disagree"" or ""Strongly Disagree"" they understood their responsiblities when they left the hospital",Above the national average,Same as the national average
340002,NC,"Patients who ""Strongly Agree"" they understood their responsiblities when they left the hospital",Above the national average,Same as the national average
340002,NC,"Patients who ""Agree"" they understood their medications when they left the hospital",Above the national average,Same as the national average
340002,NC,"Patients who ""Disagree"" or ""Strongly Disagree"" they understood their medications when they left the hospital",Above the national average,Same as the national average
340002,NC,"Patients who ""Strongly Agree"" they understood their medications when they left the hospital",Above the national average,Same as the national average
340002,NC,"Room was ""always"" clean",Above the national average,Same as the national average
340002,NC,"Room was ""sometimes"" or ""never"" clean",Above the national average,Same as the national average
340002,NC,"Room was ""usually"" clean",Above the national average,Same as the national average
340002,NC,Cleanliness - linear mean score,Above the national average,Same as the national average
340002,NC,Cleanliness - star rating,Above the national average,Same as the national average
340002,NC,Always quiet at night,Above the national average,Same as the national average
340002,NC,"Sometimes or ""never"" quiet at night",Above the national average,Same as the national average
340002,NC,Usually quiet at night,Above the national average,Same as the national average
340002,NC,Quietness - linear mean score,Above the national average,Same as the national average
340002,NC,Quietness - star rating,Above the national average,Same as the national average
340002,NC,"Patients who gave a rating of ""6"" or lower (low)",Above the national average,Same as the national average
340002,NC,"Patients who gave a rating of ""7"" or ""8"" (medium)",Above the national average,Same as the national average
340002,NC,"Patients who gave a rating of ""9"" or ""10"" (high)",Above the national average,Same as the national average
340002,NC,Overall hospital rating - linear mean score,Above the national average,Same as the national average
340002,NC,Overall hospital rating - star rating,Above the national average,Same as the national average
340002,NC,"NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",Above the national average,Same as the national average
340002,NC,"YES, patients would definitely recommend the hospital",Above the national average,Same as the national average
340002,NC,"YES, patients would probably recommend the hospital",Above the national average,Same as the national average
340002,NC,Recommend hospital - linear mean score,Above the national average,Same as the national average
340002,NC,Recommend hospital - star rating,Above the national average,Same as the national average
340002,NC,Summary star rating,Above the national average,Same as the national average
340003,NC,"Nurses ""always"" communicated well",Above the national average,Same as the national average
340003,NC,"Nurses ""sometimes"" or ""never"" communicated well",Above the national average,Same as the national average
340003,NC,"Nurses ""usually"" communicated well",Above the national average,Same as the national average
340003,NC,Nurse communication - linear mean score,Above the national average,Same as the national average
340003,NC,Nurse communication - star rating,Above the national average,Same as the national average
340003,NC,"Nurses ""always"" treated them with courtesy and  respect",Above the national average,Same as the national average
340003,NC,"Nurses ""sometimes"" or ""never"" treated them with courtesy and  respect",Above the national average,Same as the national average
340003,NC,"Nurses ""usually""  treated them with courtesy and  respect",Above the national average,Same as the national average
340003,NC,"Nurses ""always"" listened carefully",Above the national average,Same as the national average
340003,NC,"Nurses ""sometimes"" or ""never"" listened carefully",Above the national average,Same as the national average
340003,NC,"Nurses ""usually"" listened carefully",Above the national average,Same as the national average
340003,NC,"Nurses ""always"" explained things so they could understand",Above the national average,Same as the national average
340003,NC,"Nurses ""sometimes"" or ""never"" explained things so they could understand",Above the national average,Same as the national average
340003,NC,"Nurses ""usually"" explained things so they could understand",Above the national average,Same as the national average
340003,NC,"Doctors ""always"" communicated well",Above the national average,Same as the national average
340003,NC,"Doctors ""sometimes"" or ""never"" communicated well",Above the national average,Same as the national average
340003,NC,"Doctors ""usually"" communicated well",Above the national average,Same as the national average
340003,NC,Doctor communication - linear mean score,Above the national average,Same as the national average
340003,NC,Doctor communication - star rating,Above the national average,Same as the national average
340003,NC,"Doctors ""always"" treated them with courtesy and  respect",Above the national average,Same as the national average
340003,NC,"Doctors ""sometimes"" or ""never"" treated them with courtesy and  respect",Above the national average,Same as the national average
340003,NC,"Doctors ""usually""  treated them with courtesy and  respect",Above the national average,Same as the national average
340003,NC,"Doctors ""always"" listened carefully",Above the national average,Same as the national average
340003,NC,"Doctors ""sometimes"" or ""never"" listened carefully",Above the national average,Same as the national average
340003,NC,"Doctors ""usually"" listened carefully",Above the national average,Same as the national average
340003,NC,"Doctors ""always"" explained things so they could understand",Above the national average,Same as the national average
340003,NC,"Doctors ""sometimes"" or ""never"" explained things so they could understand",Above the national average,Same as the national average
340003,NC,"Doctors ""usually"" explained things so they could understand",Above the national average,Same as the national average
340003,NC,"Patients ""always"" received help as soon as they wanted",Above the national average,Same as the national average
340003,NC,"Patients ""sometimes"" or ""never"" received help as soon as they wanted",Above the national average,Same as the national average
340003,NC,"Patients ""usually"" received help as soon as they wanted",Above the national average,Same as the national average
340003,NC,Staff responsiveness - linear mean score,Above the national average,Same as the national average
340003,NC,Staff responsiveness - star rating,Above the national average,Same as the national average
340003,NC,"Patients ""always"" received call button help as soon as they wanted",Above the national average,Same as the national average
340003,NC,"Patients ""sometimes"" or ""never"" received call button help as soon as they wanted",Above the national average,Same as the national average
340003,NC,"Patients ""usually"" received call button help as soon as they wanted",Above the national average,Same as the national average
340003,NC,"Patients ""always"" received bathroom help as soon as they wanted",Above the national average,Same as the national average
340003,NC,"Patients ""sometimes"" or ""never"" received bathroom help as soon as they wanted",Above the national average,Same as the national average
340003,NC,"Patients ""usually"" received bathroom help as soon as they wanted",Above the national average,Same as the national average
340003,NC,"Staff ""always"" explained",Above the national average,Same as the national average
340003,NC,"Staff ""sometimes"" or ""never"" explained",Above the national average,Same as the national average
340003,NC,"Staff ""usually"" explained",Above the national average,Same as the national average
340003,NC,Communication about medicines - linear mean score,Above the national average,Same as the national average
340003,NC,Communication about medicines - star rating,Above the national average,Same as the national average
340003,NC,"Staff ""always"" explained new medications",Above the national average,Same as the national average
340003,NC,"Staff ""sometimes"" or ""never"" explained new medications",Above the national average,Same as the national average
340003,NC,"Staff ""usually"" explained new medications",Above the national average,Same as the national average
340003,NC,"Staff ""always"" explained possible side effects",Above the national average,Same as the national average
340003,NC,"Staff ""sometimes"" or ""never"" explained possible side effects",Above the national average,Same as the national average
340003,NC,"Staff ""usually"" explained possible side effects",Above the national average,Same as the national average
340003,NC,"No, staff ""did not"" give patients this information",Above the national average,Same as the national average
340003,NC,"Yes, staff ""did"" give patients this information",Above the national average,Same as the national average
340003,NC,Discharge information - linear mean score,Above the national average,Same as the national average
340003,NC,Discharge information - star rating,Above the national average,Same as the national average
340003,NC,"No, staff ""did not"" give patients information about help after discharge",Above the national average,Same as the national average
340003,NC,"Yes, staff ""did"" give patients information about help after discharge",Above the national average,Same as the national average
340003,NC,"No, staff ""did not"" give patients information about possible symptoms",Above the national average,Same as the national average
340003,NC,"Yes, staff ""did"" give patients information about possible symptoms",Above the national average,Same as the national average
340003,NC,"Patients who ""Agree"" they understood their care when they left the hospital",Above the national average,Same as the national average
340003,NC,"Patients who ""Disagree"" or ""Strongly Disagree"" they understood their care when they left the hospital",Above the national average,Same as the national average
340003,NC,"Patients who ""Strongly Agree"" they understood their care when they left the hospital",Above the national average,Same as the national average
340003,NC,Care transition - linear mean score,Above the national average,Same as the national average
340003,NC,Care transition - star rating,Above the national average,Same as the national average
340003,NC,"Patients who ""Agree"" that staff took their preferences into account",Above the national average,Same as the national average
340003,NC,"Patients who ""Disagree"" or ""Strongly Disagree"" that staff took their preferences into account",Above the national average,Same as the national average
340003,NC,"Patients who ""Strongly Agree"" that staff took their preferences into account",Above the national average,Same as the national average
340003,NC,"Patients who ""Agree"" they understood their responsiblities when they left the hospital",Above the national average,Same as the national average
340003,NC,"Patients who ""Disagree"" or ""Strongly Disagree"" they understood their responsiblities when they left the hospital",Above the national average,Same as the national average
340003,NC,"Patients who ""Strongly Agree"" they understood their responsiblities when they left the hospital",Above the national average,Same as the national average
340003,NC,"Patients who ""Agree"" they understood their medications when they left the hospital",Above the national average,Same as the national average
340003,NC,"Patients who ""Disagree"" or ""Strongly Disagree"" they understood their medications when they left the hospital",Above the national average,Same as the national average
340003,NC,"Patients who ""Strongly Agree"" they understood their medications when they left the hospital",Above the national average,Same as the national average
340003,NC,"Room was ""always"" clean",Above the national average,Same as the national average
340003,NC,"Room was ""sometimes"" or ""never"" clean",Above the national average,Same as the national average
340003,NC,"Room was ""usually"" clean",Above the national average,Same as the national average
340003,NC,Cleanliness - linear mean score,Above the national average,Same as the national average
340003,NC,Cleanliness - star rating,Above the national average,Same as the national average
340003,NC,Always quiet at night,Above the national average,Same as the national average
340003,NC,"Sometimes or ""never"" quiet at night",Above the national average,Same as the national average
340003,NC,Usually quiet at night,Above the national average,Same as the national average
340003,NC,Quietness - linear mean score,Above the national average,Same as the national average
340003,NC,Quietness - star rating,Above the national average,Same as the national average
340003,NC,"Patients who gave a rating of ""6"" or lower (low)",Above the national average,Same as the national average
340003,NC,"Patients who gave a rating of ""7"" or ""8"" (medium)",Above the national average,Same as the national average
340003,NC,"Patients who gave a rating of ""9"" or ""10"" (high)",Above the national average,Same as the national average
340003,NC,Overall hospital rating - linear mean score,Above the national average,Same as the national average
340003,NC,Overall hospital rating - star rating,Above the national average,Same as the national average
340003,NC,"NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",Above the national average,Same as the national average
340003,NC,"YES, patients would definitely recommend the hospital",Above the national average,Same as the national average
340003,NC,"YES, patients would probably recommend the hospital",Above the national average,Same as the national average
340003,NC,Recommend hospital - linear mean score,Above the national average,Same as the national average
340003,NC,Recommend hospital - star rating,Above the national average,Same as the national average
340003,NC,Summary star rating,Above the national average,Same as the national average
340004,NC,"Nurses ""always"" communicated well",Same as the national average,Same as the national average
340004,NC,"Nurses ""sometimes"" or ""never"" communicated well",Same as the national average,Same as the national average
340004,NC,"Nurses ""usually"" communicated well",Same as the national average,Same as the national average
340004,NC,Nurse communication - linear mean score,Same as the national average,Same as the national average
340004,NC,Nurse communication - star rating,Same as the national average,Same as the national average
340004,NC,"Nurses ""always"" treated them with courtesy and  respect",Same as the national average,Same as the national average
340004,NC,"Nurses ""sometimes"" or ""never"" treated them with courtesy and  respect",Same as the national average,Same as the national average
340004,NC,"Nurses ""usually""  treated them with courtesy and  respect",Same as the national average,Same as the national average
340004,NC,"Nurses ""always"" listened carefully",Same as the national average,Same as the national average
340004,NC,"Nurses ""sometimes"" or ""never"" listened carefully",Same as the national average,Same as the national average
340004,NC,"Nurses ""usually"" listened carefully",Same as the national average,Same as the national average
340004,NC,"Nurses ""always"" explained things so they could understand",Same as the national average,Same as the national average
340004,NC,"Nurses ""sometimes"" or ""never"" explained things so they could understand",Same as the national average,Same as the national average
340004,NC,"Nurses ""usually"" explained things so they could understand",Same as the national average,Same as the national average
340004,NC,"Doctors ""always"" communicated well",Same as the national average,Same as the national average
340004,NC,"Doctors ""sometimes"" or ""never"" communicated well",Same as the national average,Same as the national average
340004,NC,"Doctors ""usually"" communicated well",Same as the national average,Same as the national average
340004,NC,Doctor communication - linear mean score,Same as the national average,Same as the national average
340004,NC,Doctor communication - star rating,Same as the national average,Same as the national average
340004,NC,"Doctors ""always"" treated them with courtesy and  respect",Same as the national average,Same as the national average
340004,NC,"Doctors ""sometimes"" or ""never"" treated them with courtesy and  respect",Same as the national average,Same as the national average
340004,NC,"Doctors ""usually""  treated them with courtesy and  respect",Same as the national average,Same as the national average
340004,NC,"Doctors ""always"" listened carefully",Same as the national average,Same as the national average
340004,NC,"Doctors ""sometimes"" or ""never"" listened carefully",Same as the national average,Same as the national average
340004,NC,"Doctors ""usually"" listened carefully",Same as the national average,Same as the national average
340004,NC,"Doctors ""always"" explained things so they could understand",Same as the national average,Same as the national average
340004,NC,"Doctors ""sometimes"" or ""never"" explained things so they could understand",Same as the national average,Same as the national average
340004,NC,"Doctors ""usually"" explained things so they could understand",Same as the national average,Same as the national average
340004,NC,"Patients ""always"" received help as soon as they wanted",Same as the national average,Same as the national average
340004,NC,"Patients ""sometimes"" or ""never"" received help as soon as they wanted",Same as the national average,Same as the national average
340004,NC,"Patients ""usually"" received help as soon as they wanted",Same as the national average,Same as the national average
340004,NC,Staff responsiveness - linear mean score,Same as the national average,Same as the national average
340004,NC,Staff responsiveness - star rating,Same as the national average,Same as the national average
340004,NC,"Patients ""always"" received call button help as soon as they wanted",Same as the national average,Same as the national average
340004,NC,"Patients ""sometimes"" or ""never"" received call button help as soon as they wanted",Same as the national average,Same as the national average
340004,NC,"Patients ""usually"" received call button help as soon as they wanted",Same as the national average,Same as the national average
340004,NC,"Patients ""always"" received bathroom help as soon as they wanted",Same as the national average,Same as the national average
340004,NC,"Patients ""sometimes"" or ""never"" received bathroom help as soon as they wanted",Same as the national average,Same as the national average
340004,NC,"Patients ""usually"" received bathroom help as soon as they wanted",Same as the national average,Same as the national average
340004,NC,"Staff ""always"" explained",Same as the national average,Same as the national average
340004,NC,"Staff ""sometimes"" or ""never"" explained",Same as the national average,Same as the national average
340004,NC,"Staff ""usually"" explained",Same as the national average,Same as the national average
340004,NC,Communication about medicines - linear mean score,Same as the national average,Same as the national average
340004,NC,Communication about medicines - star rating,Same as the national average,Same as the national average
340004,NC,"Staff ""always"" explained new medications",Same as the national average,Same as the national average
340004,NC,"Staff ""sometimes"" or ""never"" explained new medications",Same as the national average,Same as the national average
340004,NC,"Staff ""usually"" explained new medications",Same as the national average,Same as the national average
340004,NC,"Staff ""always"" explained possible side effects",Same as the national average,Same as the national average
340004,NC,"Staff ""sometimes"" or ""never"" explained possible side effects",Same as the national average,Same as the national average
340004,NC,"Staff ""usually"" explained possible side effects",Same as the national average,Same as the national average
340004,NC,"No, staff ""did not"" give patients this information",Same as the national average,Same as the national average
340004,NC,"Yes, staff ""did"" give patients this information",Same as the national average,Same as the national average
340004,NC,Discharge information - linear mean score,Same as the national average,Same as the national average
340004,NC,Discharge information - star rating,Same as the national average,Same as the national average
340004,NC,"No, staff ""did not"" give patients information about help after discharge",Same as the national average,Same as the national average
340004,NC,"Yes, staff ""did"" give patients information about help after discharge",Same as the national average,Same as the national average
340004,NC,"No, staff ""did not"" give patients information about possible symptoms",Same as the national average,Same as the national average
340004,NC,"Yes, staff ""did"" give patients information about possible symptoms",Same as the national average,Same as the national average
340004,NC,"Patients who ""Agree"" they understood their care when they left the hospital",Same as the national average,Same as the national average
340004,NC,"Patients who ""Disagree"" or ""Strongly Disagree"" they understood their care when they left the hospital",Same as the national average,Same as the national average
340004,NC,"Patients who ""Strongly Agree"" they understood their care when they left the hospital",Same as the national average,Same as the national average
340004,NC,Care transition - linear mean score,Same as the national average,Same as the national average
340004,NC,Care transition - star rating,Same as the national average,Same as the national average
340004,NC,"Patients who ""Agree"" that staff took their preferences into account",Same as the national average,Same as the national average
340004,NC,"Patients who ""Disagree"" or ""Strongly Disagree"" that staff took their preferences into account",Same as the national average,Same as the national average
340004,NC,"Patients who ""Strongly Agree"" that staff took their preferences into account",Same as the national average,Same as the national average
340004,NC,"Patients who ""Agree"" they understood their responsiblities when they left the hospital",Same as the national average,Same as the national average
340004,NC,"Patients who ""Disagree"" or ""Strongly Disagree"" they understood their responsiblities when they left the hospital",Same as the national average,Same as the national average
340004,NC,"Patients who ""Strongly Agree"" they understood their responsiblities when they left the hospital",Same as the national average,Same as the national average
340004,NC,"Patients who ""Agree"" they understood their medications when they left the hospital",Same as the national average,Same as the national average
